order_id,date,customer_id,product,category,sales,price,cost,payment_status
ORD-250922-1409,2025-09-22 16:38:21,CUST-859,Smart Inverter AC,Climate Control,1,41093.21,30819.91,Completed
ORD-250922-4657,2025-09-22 16:38:21,CUST-242,Smart Inverter AC,Climate Control,1,40663.81,30497.86,Completed
ORD-250922-9935,2025-09-22 16:38:21,CUST-189,Smart Inverter AC,Climate Control,1,40837.08,30627.81,Completed
ORD-250922-1520,2025-09-22 16:38:21,CUST-130,Smart Inverter AC,Climate Control,1,39723.35,29792.51,Completed
ORD-250922-4811,2025-09-22 16:38:21,CUST-617,Smart Inverter AC,Climate Control,1,41261.25,30945.94,Completed
ORD-250922-4257,2025-09-22 16:38:21,CUST-833,Smart Inverter AC,Climate Control,1,41038.56,30778.92,Completed
ORD-250922-4611,2025-09-22 16:38:21,CUST-559,Front Load Washing Machine,Home Appliance,1,32031.69,25625.35,Completed
ORD-250922-1106,2025-09-22 16:38:21,CUST-877,Front Load Washing Machine,Home Appliance,1,31912.89,25530.31,Completed
ORD-250922-7924,2025-09-22 16:38:21,CUST-448,Front Load Washing Machine,Home Appliance,1,31732.77,25386.22,Completed
ORD-250922-6514,2025-09-22 16:38:21,CUST-204,Double Door Refrigerator,Home Appliance,1,27492.02,22543.46,Completed
ORD-250922-2584,2025-09-22 16:38:21,CUST-467,Double Door Refrigerator,Home Appliance,1,28120.45,23058.77,Completed
ORD-250922-5333,2025-09-22 16:38:21,CUST-926,Double Door Refrigerator,Home Appliance,1,27630.99,22657.41,Completed
ORD-250922-8527,2025-09-22 16:38:21,CUST-649,Double Door Refrigerator,Home Appliance,1,27512.86,22560.55,Completed
ORD-250922-7201,2025-09-22 16:38:21,CUST-180,Double Door Refrigerator,Home Appliance,1,28502.75,23372.26,Completed
ORD-250922-6925,2025-09-22 16:38:21,CUST-691,Double Door Refrigerator,Home Appliance,1,28521.51,23387.64,Completed
ORD-250922-2139,2025-09-22 16:38:21,CUST-146,Double Door Refrigerator,Home Appliance,1,28345.41,23243.24,Completed
ORD-250922-5741,2025-09-22 16:38:21,CUST-181,Double Door Refrigerator,Home Appliance,1,27781.17,22780.56,Completed
ORD-250922-7227,2025-09-22 16:38:21,CUST-384,Microwave Oven,Kitchen Appliance,1,9477.26,6634.08,Completed
ORD-250922-6977,2025-09-22 16:38:21,CUST-266,Microwave Oven,Kitchen Appliance,1,9356.37,6549.46,Completed
ORD-250922-4432,2025-09-22 16:38:21,CUST-786,Microwave Oven,Kitchen Appliance,1,9498.17,6648.72,Completed
ORD-250922-2169,2025-09-22 16:38:21,CUST-723,Microwave Oven,Kitchen Appliance,1,9323.07,6526.15,Completed
ORD-250922-9751,2025-09-22 16:38:21,CUST-846,Microwave Oven,Kitchen Appliance,1,9655.54,6758.88,Completed
ORD-250922-5422,2025-09-22 16:38:21,CUST-755,4K Smart LED TV,Entertainment,1,50939.17,39732.55,Completed
ORD-250922-4598,2025-09-22 16:38:21,CUST-801,4K Smart LED TV,Entertainment,1,50550.27,39429.21,Completed
ORD-250922-1916,2025-09-22 16:38:21,CUST-334,4K Smart LED TV,Entertainment,1,50879.0,39685.62,Completed
ORD-250922-6168,2025-09-22 16:38:21,CUST-510,4K Smart LED TV,Entertainment,1,50789.65,39615.93,Completed
ORD-250922-4456,2025-09-22 16:38:21,CUST-680,4K Smart LED TV,Entertainment,1,50195.8,39152.72,Completed
ORD-250923-9179,2025-09-23 16:38:21,CUST-505,Smart Inverter AC,Climate Control,1,40217.04,30162.78,Completed
ORD-250923-8517,2025-09-23 16:38:21,CUST-246,Smart Inverter AC,Climate Control,1,40319.66,30239.75,Completed
ORD-250923-5040,2025-09-23 16:38:21,CUST-862,Smart Inverter AC,Climate Control,1,40129.59,30097.19,Completed
