product,stock,threshold,lead_time_days,price
"Samsung 55"" 4K QLED Smart TV",25,30,5,72999.0
"LG 65"" OLED evo C3 Smart TV",10,30,5,129999.0
"Sony Bravia 43"" 4K HDR TV",20,30,5,48999.0
"Mi 40"" Full HD Android TV",40,30,5,21999.0
"OnePlus 50"" 4K Smart TV",18,30,5,37999.0
"TCL 32"" HD Smart TV",35,30,5,14999.0
"Hisense 58"" 4K UHD TV",14,30,5,42999.0
Daikin 1.5 Ton 5★ Inverter Split AC,30,30,5,44999.0
LG 1.5 Ton Dual Inverter AC,25,30,5,38999.0
Voltas 1 Ton 3★ Split AC,40,30,5,28999.0
Blue Star 2 Ton 5★ Inverter AC,15,30,5,62999.0
Hitachi 1 Ton 5★ Inverter AC,20,30,5,35999.0
Panasonic 1.5 Ton Cube AC,12,30,5,41999.0
Samsung 324L Double Door Frost-Free,18,30,5,34999.0
LG 215L Single Door Energy Star,22,30,5,19999.0
Whirlpool 292L Frost-Free Fridge,15,30,5,29999.0
Haier 565L French Door Fridge,8,30,5,74999.0
Godrej 190L Direct Cool Fridge,30,30,5,14999.0
LG 7 kg Front Load Washing Machine,16,30,5,36999.0
Samsung 8 kg Fully Automatic Top Load,20,30,5,28999.0
Bosch 7 kg Serie 6 Front Load,10,30,5,44999.0
Whirlpool 6.5 kg Semi-Automatic,25,30,5,15999.0
IFB 8 kg Senator Smart WW,8,30,5,49999.0
Samsung Galaxy S24 5G 256GB,50,30,5,74999.0
OnePlus 12R 5G 256GB,60,30,5,39999.0
Redmi Note 13 Pro+ 5G 256GB,80,30,5,28999.0
Apple iPhone 15 128GB,30,30,5,79900.0
Vivo V29 5G 8GB+256GB,45,30,5,33999.0
Realme 12 Pro+ 5G 256GB,55,30,5,29999.0
OPPO Reno 11 5G 256GB,40,30,5,31999.0
Dell Inspiron 15 Core i5 16GB RAM,20,30,5,54999.0
HP Pavilion 14 Ryzen 5 8GB RAM,18,30,5,48999.0
Lenovo IdeaPad Slim 5 Ryzen 7,15,30,5,62499.0
ASUS VivoBook 15 Core i3 8GB,22,30,5,38999.0
Acer Aspire Lite Ryzen 3,25,30,5,32999.0
Apple MacBook Air M2 8GB,10,30,5,114900.0
Sony WH-1000XM5 Wireless Headphones,40,30,5,24999.0
JBL Bar 5.0 Multibeam Soundbar,25,30,5,19999.0
boAt Aavante Bar 1500 Soundbar,80,30,5,4999.0
Bose QuietComfort 45 Headphones,20,30,5,29900.0
JBL Flip 6 Bluetooth Speaker,60,30,5,9999.0
Harman Kardon Onyx Studio 7,18,30,5,16999.0
IFB 25L Convection Microwave,28,30,5,14999.0
Philips XXL Air Fryer HD9860,35,30,5,12999.0
Morphy Richards Icon Superb Mixer,60,30,5,4499.0
Prestige Electric Induction Cooktop,70,30,5,3499.0
Havells OTG 35L Bake & Broil,30,30,5,7999.0
Kent Grand+ Water Purifier RO,22,30,5,16999.0
Dyson V8 Absolute Cordless Vacuum,12,30,5,34999.0
Eureka Forbes Trendy Zip Vacuum,50,30,5,3499.0
Usha Maxx Air Tower Fan 400mm,45,30,5,4999.0
Bajaj 750W Room Heater,55,30,5,2499.0
Philips Wet & Dry Iron GC1905,80,30,5,1499.0
Philips LED Bulb 9W (Pack of 10),250,30,5,499.0
Syska LED Strip Light 5M RGB,120,30,5,1299.0
Havells Flomax 1200mm Fan With Light,40,30,5,5999.0
CP Plus 5MP CCTV Kit 4-Channel,25,30,5,12999.0
Hikvision 2MP IP PTZ Camera,20,30,5,8499.0
Godrej 10L Electronic Safe,30,30,5,6999.0
